block,cost,SHA_COMPRESS,SHA_EXTEND,KECCAK_PERMUTE,POSEIDON2_PERMUTE,ED_ADD,ED_DECOMPRESS,SECP256K1_ADD,SECP256K1_DOUBLE,SECP256K1_DECOMPRESS,SECP256R1_ADD,SECP256R1_DOUBLE,SECP256R1_DECOMPRESS,BN254_ADD,BN254_DOUBLE,BLS12381_ADD,BLS12381_DOUBLE,BLS12381_DECOMPRESS,BN254_FP_ADD,BN254_FP_SUB,BN254_FP_MUL,BN254_FP2_ADD,BN254_FP2_SUB,BN254_FP2_MUL,BLS12381_FP_ADD,BLS12381_FP_SUB,BLS12381_FP_MUL,BLS12381_FP2_ADD,BLS12381_FP2_SUB,BLS12381_FP2_MUL,SECP256K1_FP_ADD,SECP256K1_FP_SUB,SECP256K1_FP_MUL,UINT256_MUL
24000388,26513454177681360,27,27,86649,0,0,0,80199,160768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000389,84999747236565530,57,57,99856,0,0,0,26921,54272,0,0,0,0,0,0,0,0,12,199840,0,0,17578,0,18039,324618,0,0,183198,0,90138,0,0,0,43
24000390,8093074859675374,14,14,30971,0,0,0,29238,58880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000391,45905058830784904,105,105,115080,0,0,0,80430,161280,0,0,0,0,0,0,0,0,0,485459,0,0,57780,0,65883,0,0,0,0,0,0,0,0,0,41
24000392,17880498145404299,14,14,59678,0,0,0,47360,95232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000393,6378315046843314,14,14,22550,0,0,0,40203,80896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000394,71517266118314871,67,67,172039,0,0,0,68929,137728,0,0,0,0,0,0,0,0,0,518708,0,0,62826,0,77649,0,0,0,0,0,0,0,0,0,54
24000395,79753815938472760,14,14,103439,0,0,0,17384,34816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000396,80251799844815867,14,14,100776,0,0,0,16634,33280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000397,45635023550083784,19,19,105196,0,0,0,85219,171008,0,0,0,0,0,0,0,0,0,75303,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,5
